year,month,amo_value
2000,4,0.052000000000000005
2001,4,-0.002
2002,4,0.037000000000000005
2003,4,0.09
2004,4,0.11900000000000001
2005,4,0.303
2006,4,0.20800000000000002
2007,4,0.17
2008,4,0.054000000000000006
2009,4,-0.11900000000000001
2010,4,0.43700000000000006
2011,4,0.10300000000000001
2012,4,0.092
2013,4,0.14800000000000002
2014,4,-0.08199999999999999
2015,4,-0.06
2016,4,0.18899999999999997
1948,5,0.002
1949,5,-0.018000000000000002
1950,5,-0.052000000000000005
1951,5,0.179
1952,5,0.187
1953,5,0.349
1954,5,0.077
1955,5,0.183
1956,5,-0.051
1957,5,-0.114
1958,5,0.20800000000000002
1959,5,0.013999999999999999
1960,5,0.309
1961,5,0.2
1962,5,0.028999999999999998
1963,5,-0.078
1964,5,0.047
1965,5,-0.092
1966,5,0.008
1967,5,-0.18100000000000002
1968,5,-0.11699999999999999
1969,5,0.017
1970,5,-0.04
1971,5,-0.32
1972,5,-0.462
1973,5,-0.162
1974,5,-0.49200000000000005
1975,5,-0.38
1976,5,-0.48
1977,5,-0.161
1978,5,-0.195
1979,5,-0.10800000000000001
1980,5,0.139
1981,5,-0.069
1982,5,-0.17600000000000002
1983,5,-0.033
1984,5,-0.15
1985,5,-0.322
1986,5,-0.213
1987,5,0.084
1988,5,0.151
1989,5,-0.134
1990,5,-0.046
1991,5,-0.142
1992,5,-0.21100000000000002
1993,5,-0.153
1994,5,-0.19699999999999998
1995,5,0.281
1996,5,-0.055
1997,5,0.049
1998,5,0.39299999999999996
1999,5,0.172
2000,5,0.115
2001,5,0.001
2002,5,-0.038
2003,5,0.162
2004,5,0.016
2005,5,0.304
2006,5,0.319
2007,5,0.12300000000000001
2008,5,0.184
2009,5,-0.05
2010,5,0.47100000000000003
2011,5,0.163
2012,5,0.17600000000000002
2013,5,0.113
2014,5,0.01
2015,5,0.055999999999999994
2016,5,0.35600000000000004
1948,6,0.061
1949,6,0.006999999999999999
1950,6,-0.036000000000000004
1951,6,0.29600000000000004
1952,6,0.389
1953,6,0.282
1954,6,0.106
1955,6,0.2
1956,6,-0.257
1957,6,-0.005
1958,6,0.228
1959,6,-0.053
1960,6,0.326
1961,6,0.039
1962,6,-0.065
1963,6,-0.04
1964,6,0.01
1965,6,-0.12
1966,6,-0.039
1967,6,-0.254
1968,6,-0.256
1969,6,0.035
1970,6,-0.17600000000000002
1971,6,-0.35600000000000004
1972,6,-0.48100000000000004
1973,6,-0.168
1974,6,-0.44
1975,6,-0.287
1976,6,-0.475
1977,6,-0.099
1978,6,-0.324
1979,6,-0.032
1980,6,0.11900000000000001
1981,6,-0.047
1982,6,-0.16899999999999998
1983,6,-0.039
1984,6,-0.309
1985,6,-0.11199999999999999
1986,6,-0.24600000000000002
1987,6,0.21899999999999997
1988,6,0.179
1989,6,0.10300000000000001
1990,6,-0.044000000000000004
1991,6,-0.11800000000000001
1992,6,-0.14
1993,6,-0.171
1994,6,-0.212
1995,6,0.374
1996,6,-0.114
1997,6,0.018000000000000002
1998,6,0.499
1999,6,0.19
2000,6,-0.008
2001,6,0.20800000000000002
2002,6,-0.107
2003,6,0.21600000000000003
2004,6,0.188
2005,6,0.33799999999999997
2006,6,0.344
2007,6,0.099
2008,6,0.267
2009,6,0.133
2010,6,0.45899999999999996
2011,6,0.19
2012,6,0.312
2013,6,0.057999999999999996
2014,6,0.07400000000000001
2015,6,0.040999999999999995
2016,6,0.42100000000000004
1948,7,-0.033
1949,7,0.078
1950,7,-0.049
1951,7,0.428
1952,7,0.379
1953,7,0.35
1954,7,-0.038
1955,7,0.275
1956,7,-0.083
1957,7,0.047
